name,count,percentage
aws,413,72.83950617283949
gcp,71,12.522045855379188
azure,58,10.229276895943562
digitalocean,13,2.2927689594356258
scaleway,4,0.7054673721340388
hcloud,2,0.3527336860670194
ibm,2,0.3527336860670194
oracle,2,0.3527336860670194
alicloud,1,0.1763668430335097
ovh,1,0.1763668430335097
fastly,1,0.1763668430335097
